Game,CPU,GPU,RAM,File Size
Crossfire,Intel Pentium E2180,NVIDIA GeForce 7600 GT,1 GB,40 MB
Football Manager 25,Intel Core i3-530,NVIDIA GeForce GTX 960,4 GB,20 GB
Call of Duty: Vanguard,Intel Core i3-4340,AMD Radeon RX 470,8 GB,61 GB
Factorio,Intel Core 2 Quad Q9650,NVIDIA GeForce GTX 750 Ti,8 GB,5 GB
"Warhammer 40,000: Rogue Trader",Intel Core i5-4590T,AMD Radeon Vega 6,8 GB,100 GB
Total War: THREE KINGDOMS,Intel Core 2 Duo E6850,NVIDIA GeForce GTX 650 Ti,4 GB,60 GB
Undertale,Intel Core 2 Duo E8400,Unknown,2 GB,200 MB
Paladins,Intel Core 2 Duo E4600,NVIDIA GeForce 8800 GT,4 GB,30 GB
Tropico 6,AMD A10-7850K,AMD Radeon HD 7870,8 GB,16 GB
Subnautica: Below Zero,Intel Core i3-2120T,Intel HD 530,8 GB,15 GB
Blasphemous,Intel Core 2 Duo E8400,ATI Radeon HD 4850,4 GB,4 GB
Marvel's Midnight Suns,Intel Core i5-4430,NVIDIA GeForce GTX 960,8 GB,60 GB
DiRT Rally 2.0,Intel Core i3-2130,Unknown,8 GB,100 GB
Slime Rancher 2,Intel Core i5-2500K,Unknown,8 GB,8 GB
Like a Dragon: Pirate Yakuza in Hawaii,Intel Core i5-3470,NVIDIA GeForce GTX 1650,8 GB,56 GB
TRIBE NINE,Intel Core i7-6700,AMD Radeon RX 580,8 GB,20 GB
Sledders,Intel Core i5-1300F,NVIDIA GeForce 510,8 GB,10 GB
Goat Simulator 3,Intel Core i5-4690K,NVIDIA GeForce GTX 1050 Ti,8 GB,12 GB
LEGO Marvel Super Heroes,Intel Core 2 Duo E8400,AMD Radeon X1950 Pro,2 GB,7 GB
Assassin's Creed 3 Remastered,Intel Core i5-2400,AMD Radeon R9 270X,8 GB,45 GB
Total War: WARHAMMER,Intel Core 2 Duo Q6867,Unknown,3 GB,35 GB
CODE VEIN,Intel Core i5-2300,AMD Radeon HD 7850,6 GB,35 GB
Gears 5,Intel Core i3-2340UE,AMD Radeon R9 280,8 GB,80 GB
Life is Strange - Episode 1,Intel Core 2 Duo Q6867,NVIDIA GeForce 7200 GS,2 GB,5 GB
Car Mechanic Simulator 2018,Intel Core i3-4150T,NVIDIA GeForce GTX 660,4 GB,20 GB
Prehistoric Kingdom,Intel Core i5-2300,Unknown,8 GB,10 GB
Carry The Glass,Intel Core i5-750,Unknown,8 GB,650 MB
Bayonetta,Intel Core i3-3220,AMD Radeon HD 6950,4 GB,20 GB
Call of Duty Infinite Warfare,Intel Core i3-3225,AMD Radeon HD 7850,8 GB,70 GB
A Plague Tale: Requiem,Intel Core i5-4690K,AMD Radeon RX 590,16 GB,55 GB
Far Cry 2: Fortune's Edition,AMD Athlon 64 3500+,NVIDIA GeForce 6800,1 GB,5 GB
Crash Bandicoot™ 4: It’s About Time,Intel Core i3-4340,NVIDIA GeForce GTX 660,8 GB,30 GB
Carnal Instinct,Intel Core i5-6600,Unknown,16 GB,10 GB
